id,signal_id,horizon,target_at,observed_at,price_usd,raw_return_pct,estimated_cost_pct,net_return_pct,delayed_raw_return_pct,delayed_net_return_pct,btc_return_pct,eth_return_pct,top100_equal_return_pct,matched_all_passing_median_return_pct,source
1,1,15m,2026-05-10T15:10:06+00:00,2026-05-10T15:15:59+00:00,1.952e-06,-37.69549952122566,0.5,-38.19549952122566,,,0.06265045228244226,0.13775105735973625,0.14004068007630155,,dexscreener_pair
2,2,15m,2026-05-10T15:10:06+00:00,2026-05-10T15:15:59+00:00,1.952e-06,-37.69549952122566,0.5,-38.19549952122566,,,0.06265045228244226,0.13775105735973625,0.14004068007630155,-38.19549952122566,dexscreener_pair
3,3,15m,2026-05-10T15:10:06+00:00,2026-05-10T15:15:59+00:00,1.952e-06,-37.69549952122566,0.5,-38.19549952122566,,,0.06265045228244226,0.13775105735973625,0.14004068007630155,-38.19549952122566,dexscreener_pair
4,1,30m,2026-05-10T15:25:06+00:00,2026-05-10T16:12:57+00:00,1.954e-06,-37.631662942866264,0.5,-38.131662942866264,0.10245901639343025,-0.39754098360656975,0.6307784679333572,0.6613236822460511,0.6552072637601901,,dexscreener_pair
5,1,1h,2026-05-10T15:55:06+00:00,2026-05-10T16:12:57+00:00,1.954e-06,-37.631662942866264,0.5,-38.131662942866264,0.10245901639343025,-0.39754098360656975,0.6307784679333572,0.6613236822460511,0.6552072637601901,,dexscreener_pair
6,2,30m,2026-05-10T15:25:06+00:00,2026-05-10T16:12:57+00:00,1.954e-06,-37.631662942866264,0.5,-38.131662942866264,0.10245901639343025,-0.39754098360656975,0.6307784679333572,0.6613236822460511,0.6552072637601901,-38.131662942866264,dexscreener_pair
7,2,1h,2026-05-10T15:55:06+00:00,2026-05-10T16:12:57+00:00,1.954e-06,-37.631662942866264,0.5,-38.131662942866264,0.10245901639343025,-0.39754098360656975,0.6307784679333572,0.6613236822460511,0.6552072637601901,-38.131662942866264,dexscreener_pair
8,3,30m,2026-05-10T15:25:06+00:00,2026-05-10T16:12:57+00:00,1.954e-06,-37.631662942866264,0.5,-38.131662942866264,0.10245901639343025,-0.39754098360656975,0.6307784679333572,0.6613236822460511,0.6552072637601901,-38.131662942866264,dexscreener_pair
9,3,1h,2026-05-10T15:55:06+00:00,2026-05-10T16:12:57+00:00,1.954e-06,-37.631662942866264,0.5,-38.131662942866264,0.10245901639343025,-0.39754098360656975,0.6307784679333572,0.6613236822460511,0.6552072637601901,-38.131662942866264,dexscreener_pair
10,1,2h,2026-05-10T16:55:06+00:00,2026-05-10T17:15:14+00:00,1.713e-06,-45.32397063517396,0.5,-45.82397063517396,-12.243852459016402,-12.743852459016402,0.4300373621021869,0.7087549884473576,0.9301451477206863,,dexscreener_pair
11,2,2h,2026-05-10T16:55:06+00:00,2026-05-10T17:15:14+00:00,1.713e-06,-45.32397063517396,0.5,-45.82397063517396,-12.243852459016402,-12.743852459016402,0.4300373621021869,0.7087549884473576,0.9301451477206863,-45.82397063517396,dexscreener_pair
12,3,2h,2026-05-10T16:55:06+00:00,2026-05-10T17:15:14+00:00,1.713e-06,-45.32397063517396,0.5,-45.82397063517396,-12.243852459016402,-12.743852459016402,0.4300373621021869,0.7087549884473576,0.9301451477206863,-45.82397063517396,dexscreener_pair
