id,token_address,symbol,pair_id,original_label,horizon,max_future_return_pct,return_at_horizon_pct,reject_reasons,liquidity_at_scan,volume_at_scan,pair_age_hours_at_scan,price_change_1h_at_scan,security_score,fdv,fdv_liquidity_ratio,tradability_score,tradability_label,should_be_high_risk_momentum,main_lesson,created_at
1052,0xcEecb3d02b0839ed9f7688679276F523a11f955f,XONA,base:0x3307a8dd3c868a6e3d72aaa59565b4c983f011c80f80a2803d157603fa3b8367,Watchlist,4h,65.20223152022318,65.20223152022318,[],80392.58,985608.11,2.2460045294444444,22.18,,,,85.0,Possibly Tradable,0,Clean missed winner candidate: review whether thresholds were too strict.,2026-05-12T00:12:35+00:00
1051,0xcEecb3d02b0839ed9f7688679276F523a11f955f,XONA,base:0x3307a8dd3c868a6e3d72aaa59565b4c983f011c80f80a2803d157603fa3b8367,Watchlist,1h,65.20223152022318,65.20223152022318,[],80392.58,985608.11,2.2460045294444444,22.18,,,,85.0,Possibly Tradable,0,Clean missed winner candidate: review whether thresholds were too strict.,2026-05-12T00:12:35+00:00
1050,0xcEecb3d02b0839ed9f7688679276F523a11f955f,XONA,base:0x3307a8dd3c868a6e3d72aaa59565b4c983f011c80f80a2803d157603fa3b8367,Watchlist,15m,65.20223152022318,65.20223152022318,[],80392.58,985608.11,2.2460045294444444,22.18,,,,85.0,Possibly Tradable,0,Clean missed winner candidate: review whether thresholds were too strict.,2026-05-12T00:12:35+00:00
1049,0xA74f7dad0b4c603adA798E2FeE76bD8D6aDfe8ee,Meridia,base:0x039b7089b25349f52fe75bd32db237b4c237fa7347c0cbedb494d507b7da9727,Watchlist,4h,152.91545189504373,152.91545189504373,[],89528.43,401263.44,1.1183388027777779,176.0,,,,85.0,Possibly Tradable,0,Clean missed winner candidate: review whether thresholds were too strict.,2026-05-12T00:12:35+00:00
1048,0xA74f7dad0b4c603adA798E2FeE76bD8D6aDfe8ee,Meridia,base:0x039b7089b25349f52fe75bd32db237b4c237fa7347c0cbedb494d507b7da9727,Watchlist,1h,152.91545189504373,152.91545189504373,[],89528.43,401263.44,1.1183388027777779,176.0,,,,85.0,Possibly Tradable,0,Clean missed winner candidate: review whether thresholds were too strict.,2026-05-12T00:12:35+00:00
1047,0xA74f7dad0b4c603adA798E2FeE76bD8D6aDfe8ee,Meridia,base:0x039b7089b25349f52fe75bd32db237b4c237fa7347c0cbedb494d507b7da9727,Watchlist,15m,152.91545189504373,152.91545189504373,[],89528.43,401263.44,1.1183388027777779,176.0,,,,85.0,Possibly Tradable,0,Clean missed winner candidate: review whether thresholds were too strict.,2026-05-12T00:12:35+00:00
1046,0xA74f7dad0b4c603adA798E2FeE76bD8D6aDfe8ee,Meridia,base:0x039b7089b25349f52fe75bd32db237b4c237fa7347c0cbedb494d507b7da9727,Watchlist,24h,148.61516034985422,148.61516034985422,[],89528.43,401263.44,1.1183388027777779,176.0,,,,85.0,Possibly Tradable,0,Clean missed winner candidate: review whether thresholds were too strict.,2026-05-12T00:12:35+00:00
1045,0xA74f7dad0b4c603adA798E2FeE76bD8D6aDfe8ee,Meridia,base:0x039b7089b25349f52fe75bd32db237b4c237fa7347c0cbedb494d507b7da9727,Watchlist,8h,53.134110787172006,53.134110787172006,[],89528.43,401263.44,1.1183388027777779,176.0,,,,85.0,Possibly Tradable,0,Clean missed winner candidate: review whether thresholds were too strict.,2026-05-12T00:12:35+00:00
1044,0xA74f7dad0b4c603adA798E2FeE76bD8D6aDfe8ee,Meridia,base:0x039b7089b25349f52fe75bd32db237b4c237fa7347c0cbedb494d507b7da9727,Watchlist,2h,53.134110787172006,53.134110787172006,[],89528.43,401263.44,1.1183388027777779,176.0,,,,85.0,Possibly Tradable,0,Clean missed winner candidate: review whether thresholds were too strict.,2026-05-12T00:12:35+00:00
1043,0xA74f7dad0b4c603adA798E2FeE76bD8D6aDfe8ee,Meridia,base:0x039b7089b25349f52fe75bd32db237b4c237fa7347c0cbedb494d507b7da9727,Watchlist,30m,53.134110787172006,53.134110787172006,[],89528.43,401263.44,1.1183388027777779,176.0,,,,85.0,Possibly Tradable,0,Clean missed winner candidate: review whether thresholds were too strict.,2026-05-12T00:12:35+00:00
